Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Uninstall.io,https://angel.co/uninstall-io,5,Jun '15,Bengaluru,Mobile Advertising,http://www.uninstall.io,1-10,Acquired,""
Hiver,https://angel.co/grexit,5,Feb '11,Silicon Valley,Customer Support Tools,http://hiverhq.com,11-50,Seed,175000
Vahan,https://angel.co/vahan-1,5,Nov '15,Singapore,Messaging,http://vahan.co,1-10,"",""
Brainnr ,https://angel.co/brainnr-jatia-education-pvt-ltd,5,Sep '16,Bengaluru,Tutoring,https://www.brainnr.com/,"","",""
Origa Leasing,https://angel.co/origa-leasing,5,Sep '15,Mumbai,South East Asia,http://www.origaleasing.com,1-10,Seed,1000000
Supr Daily,https://angel.co/supr-daily,5,Jan '18,Mumbai,"",http://www.suprdaily.com,"",Seed,1500000
SocialCops,https://angel.co/social-cops,5,Feb '13,India,Data,https://socialcops.com/,11-50,"",350000
iControl,https://angel.co/icontrol-1,5,May '16,Stockholm,Construction,http://icontrolapp.co/,11-50,"",""
ShoppinPal,https://angel.co/shoppinpal,5,Aug '12,San Francisco,Mobile Commerce,http://shoppinpal.com,11-50,Seed,500000
Inkmonk,https://angel.co/inkmonk,5,Apr '14,Chennai,Marketplaces,http://www.inkmonk.com,11-50,Seed,250000
Almabase,https://angel.co/almabase,5,Mar '15,San Francisco,Colleges,http://www.almabase.com/?utm_source=angellist,11-50,"",""
Tripoto,https://angel.co/tripoto-1,5,May '14,Delhi,Advertising Platforms,http://www.tripoto.com,11-50,"",""
